MESSAGE,WHO,WHAT,WHEN,WHERE,WHY,HOW,HOW MUCH
['\ufeffHow about adding Dynomite and Elaticssearch to the image?'],0.0002526612245354188,0.9956091048919423,0,0.0002104785100662346,0,0.003841743419198652,0
"['Caught this in the compose logs, looks like there is something wrong with my elastic configuration:\\r\\n`conductor_1\xa0 \xa0 \xa0 | 8560 [main] ERROR com.netflix.conductor.server.ConductorServer\xa0 - Error starting embedded elasticsearch.\xa0 Search functionality will be impacted: file:/conductor-server-1.6.0-SNAPSHOT-all.jar!/es_template.json`. \\r\\nIf anything jumps out at you as to what I configured wrong, please let me know. Does this impact the use of dynomite? I will be taking a closer look at it tomorrow']",0.00046224865378991685,0.9872319115889423,0,0.007761082166996716,0,0.004100996442680195,0
['Can you update the .md file under the docs and submit PR?\xa0 I will do a gh-depoy from there.'],0.0012204666419100732,0.0361036864907405,0.00023061636168024487,0.9622935522457173,0,0,0
['Any reason this build got failed?'],0,0.0024110836144069178,0,0,0.9973487921755361,0,0
['@picaron This may not be required.\xa0 Have you tried configuring the workflow with workflow task marked as optional?\xa0 We have this feature in a pre-release version 1.7.2+.\\r\\n'],0.0018050761494973696,0.9976943235647596,0,0,0.0002830590570320687,0.00012982917630813674,0
"[""@v1r3n @picaron\xa0 Wouldn't it be better to make HTTP task extend the WorflowTask instead?""]",0.4586538467258229,0.523459560491577,0,0,0.00040522811601637705,0.016816858728401492,0
"[' actually I deleted the branch after you merged a recent PR because my changes were no longer compatible with the latest `master`, main reason being that the `COMPLETED_WITH_ERRORS` status was removed. I would be happy to create a new PR. Since this status `COMPLETED_WITH_ERRORS` no longer exists, how do to suggest to implement this? Should I simply set the HTTP task to `COMPLETED` or is there another better approach?']",0.004439278125957772,0.9844152243217039,0,0,0.00931672599584671,0.0015884625186007991,0
['@v1r3n any updates on supporting optional HTTP tasks?\\r\\n'],0.06850676359329792,0.9278768646079079,0,0.0004464307789559427,0,0.0027386085939214164,0
['@cquon will this change support ES 2.x?'],0.6452294041961046,0.3264143148771028,0,0.004649189851712773,0,0.019206398504940866,0
['@cquon thanks.\xa0 This could be a problem because we have few users including ourselves using it on 2.x and are not yet ready to move to 5.x. Is there a way to create a separate module for ES 5 and put this class in there?\xa0 That would allow folks to pick the right version.\xa0 Also I would suggest renaming the class to reflect that. Thoughts?'],0.008032596928555565,0.9550842714867837,0,0,0.03619099311812695,0.00038099206874366877,0
"['@v1r3n Yes that definitely makes sense.\\r\\n\\r\\nWhen you say different module do you mean a different top level project?\\r\\n\\r\\nThe legacy support for elasticsearch 2.4 has a dependency on ""org.elasticsearch:elasticsearch:2.+""\\r\\n\\r\\nwhile elasticsearch 5.']",0,0.11402611247715501,0.6478527928273253,0.2319022343024824,0,0.0020984197867706107,0
"['@cquon any chance you can create a separate module and put this there?\xa0 The reason is we have users using it over 2.x and there are no plans to push them to 5 for a while, so it will be required to keep both versions available till then.']",6.698720010723352e-05,1.0181685406353511e-05,0,0,0.9998827552637014,0,0
"['Sure will look into doing that first before moving to rest client.\\r\\n\\r\\nAs I mentioned earlier:\\r\\n\\r\\nThe elasticsearch 5.3.0 has a dependency on ""org.elasticsearch:elasticsearch:5.3.0"" and ""org.elasticsearch.client:transport:5.3.0"" which conflicts with the current ""org.elasticsearch:elasticsearch:2.+"" so only one will be picked up.\\r\\n\\r\\nDo you recommend under top level conductor directory having an elasticsearch2-client and elasticsearch5-client project for example, each with their own dependencies and then the build.gradle for redis-persistence use a specific one when building (""compile project(\':elasticsearch2-client\')"")?\xa0 So it can default to the existing elasticsearch configuration and one could just change it to (""compile project(\':elasticsearch5-client\')"") when wanting to change?']",0.00022883301786949154,7.839283696690628e-05,0,0.001762907754436939,0,0.9978744822189366,0
